AliceBasis,AliceBit,BobBasis,BobResult
Z,0,X,0
Z,1,Z,1
X,0,Z,0
X,0,Z,0
Z,1,X,1
X,1,X,1
Z,1,X,0
X,1,Z,1
Z,0,Z,0
Z,1,X,1
X,1,X,1
Z,0,Z,0
Z,1,X,0
Z,0,Z,0
Z,1,Z,1
Z,1,Z,1
Z,1,X,1
Z,1,X,1
X,1,Z,1
X,1,X,1
Z,1,X,0
Z,1,Z,1
X,0,X,0
X,1,Z,0
Z,1,X,1
Z,0,Z,0
Z,0,X,1
X,1,Z,0
Z,0,X,1
Z,1,X,0
Z,0,Z,0
Z,1,X,1
X,0,X,0
Z,1,X,1
Z,1,Z,1
X,0,Z,1
Z,0,Z,0
X,0,Z,1
Z,0,X,1
X,1,X,1
Z,1,Z,1
X,1,Z,0
X,0,X,0
X,1,X,1
Z,0,Z,0
Z,1,X,1
Z,0,Z,0
X,0,Z,0
Z,1,X,0
Z,0,X,1
X,0,Z,0
Z,1,Z,1
X,0,X,0
X,0,Z,0
Z,0,X,0
Z,0,Z,0
X,1,Z,1
X,1,Z,1
X,0,X,0
Z,1,X,0
Z,0,Z,0
X,0,Z,1
X,0,X,0
Z,0,X,1
X,0,Z,0
Z,0,Z,0
X,1,X,1
Z,0,X,1
X,1,X,1
Z,0,Z,0
Z,1,Z,1
X,0,X,0
Z,1,X,1
X,1,X,1
X,0,X,0
X,0,X,0
X,1,X,1
X,1,X,1
X,0,Z,0
X,1,X,1
X,1,Z,0
X,1,Z,0
Z,1,Z,1
Z,0,Z,0
Z,1,Z,1
Z,1,X,1
Z,1,X,1
Z,0,X,0
X,1,X,1
Z,0,Z,0
X,0,X,0
Z,0,X,1
Z,1,X,1
X,1,X,1
X,0,Z,0
Z,0,Z,0
X,1,Z,1
Z,1,Z,1
X,1,X,1
Z,1,Z,1
X,0,X,0
X,1,Z,1
Z,1,Z,1
X,0,X,0
Z,0,Z,0
Z,0,Z,0
Z,0,Z,0
Z,0,X,0
X,1,Z,0
Z,1,X,1
X,1,X,1
Z,1,Z,1
X,1,Z,0
X,0,X,0
X,0,Z,1
X,0,X,0
X,0,Z,0
Z,1,Z,1
X,0,Z,1
X,1,Z,0
Z,0,Z,0
Z,0,Z,0
X,1,X,1
Z,0,Z,0
Z,1,X,1
X,1,X,1
Z,0,X,0
X,1,X,1
X,0,Z,1
X,0,Z,0
Z,1,X,1
Z,1,X,1
Z,1,X,1
X,1,X,1
Z,1,Z,1
X,0,X,0
X,0,Z,0
Z,1,Z,1
X,1,X,1
Z,1,X,0
X,0,Z,0
Z,1,Z,1
Z,0,Z,0
Z,0,X,1
X,0,Z,1
Z,1,X,0
Z,0,Z,0
Z,0,X,0
X,0,X,0
Z,0,X,1
X,1,Z,1
Z,0,Z,0
X,1,X,1
X,1,Z,1
X,1,Z,0
Z,0,Z,0
Z,1,X,0
X,1,X,1
Z,1,Z,1
Z,1,Z,1
Z,0,X,0
Z,0,Z,0
Z,1,Z,1
X,0,X,0
Z,0,X,0
X,1,X,1
Z,1,Z,1
Z,0,Z,0
X,0,X,0
Z,1,Z,1
Z,1,Z,1
X,0,X,0
X,0,Z,0
Z,0,Z,0
Z,0,Z,0
Z,1,X,1
Z,1,Z,1
X,1,Z,1
X,0,X,0
X,1,Z,1
X,1,Z,0
Z,0,Z,0
X,0,Z,0
X,0,Z,0
Z,0,X,1
X,0,Z,1
X,0,X,0
Z,0,Z,0
X,0,X,0
X,0,Z,1
X,0,Z,1
X,0,X,0
X,0,Z,1
Z,0,X,0
X,0,X,0
X,0,X,0
X,0,Z,0
X,1,X,1
X,0,Z,1
Z,1,X,0
Z,0,X,0
Z,0,X,0
Z,0,X,1
Z,1,Z,1
Z,1,Z,1
Z,0,Z,0
X,1,X,1
Z,1,X,0
Z,1,X,0
X,0,Z,1
Z,1,Z,1
Z,1,Z,1
Z,1,Z,1
X,1,X,1
Z,1,Z,1
Z,0,Z,0
Z,1,Z,1
X,1,Z,0
X,0,X,0
Z,1,Z,1
X,1,X,1
Z,0,Z,0
X,1,X,1
X,0,X,0
X,0,X,0
X,0,Z,1
X,0,Z,1
X,0,X,0
X,0,X,0
Z,0,Z,0
X,1,Z,1
X,1,Z,1
Z,1,X,0
X,1,X,1
Z,0,Z,0
Z,0,X,1
X,0,Z,0
Z,0,Z,0
X,0,Z,0
X,0,Z,0
Z,1,Z,1
Z,0,X,0
X,1,X,1
Z,1,X,1
Z,0,X,0
Z,1,X,1
Z,0,X,1
X,0,X,0
X,1,Z,1
X,1,X,1
Z,1,Z,1
X,0,X,0
X,0,Z,1
X,1,Z,1
Z,0,Z,0
X,0,Z,0
X,1,Z,1
X,1,Z,0
X,1,X,1
Z,0,Z,0
Z,0,X,0
Z,0,Z,0
Z,1,Z,1
X,0,Z,0
Z,0,X,0
Z,1,Z,1
X,0,X,0
Z,1,X,0
Z,1,Z,1
Z,0,Z,0
Z,0,X,1
Z,1,Z,1
X,1,X,1
X,1,X,1
X,1,Z,1
Z,1,Z,1
Z,1,X,0
X,1,X,1
Z,0,Z,0
Z,1,Z,1
Z,0,X,1
X,1,Z,1
X,0,X,0
Z,1,Z,1
Z,1,X,1
Z,1,X,0
X,0,Z,1
Z,1,Z,1
Z,1,Z,1
X,1,X,1
Z,1,X,0
Z,1,X,0
Z,0,X,1
Z,1,Z,1
X,0,X,0
Z,0,X,1
X,1,X,1
Z,1,X,1
X,0,X,0
X,0,X,0
Z,1,Z,1
Z,0,X,1
X,0,X,0
X,1,X,1
Z,1,X,1
X,0,Z,0
Z,0,Z,0
X,0,Z,1
X,1,Z,0
X,1,Z,0
Z,1,X,1
Z,0,X,1
X,1,Z,1
X,0,Z,0
Z,1,X,0
Z,0,X,1
X,0,Z,0
X,1,X,1
X,0,Z,0
X,1,Z,0
X,1,Z,0
X,0,X,0
Z,1,X,0
Z,1,X,0
X,1,X,1
Z,0,X,0
X,0,Z,0
Z,1,Z,1
Z,1,X,0
Z,0,Z,0
X,0,Z,0
X,0,X,0
X,0,Z,0
Z,0,X,1
Z,0,X,0
Z,0,Z,0
Z,1,X,1
Z,0,Z,0
X,1,X,1
X,1,X,1
Z,1,Z,1
Z,1,Z,1
X,0,X,0
X,0,Z,1
X,0,Z,1
X,1,Z,0
X,1,X,1
X,0,X,0
X,1,Z,0
X,1,Z,1
Z,0,Z,0
X,1,X,1
Z,1,Z,1
X,0,Z,1
X,1,X,1
X,0,Z,0
Z,0,Z,0
X,0,Z,1
X,0,Z,0
Z,0,X,1
X,0,Z,1
X,1,X,1
Z,1,Z,1
X,0,X,0
X,1,X,1
X,0,X,0
Z,0,X,0
Z,0,X,1
Z,1,X,1
Z,0,X,0
Z,1,X,1
X,0,Z,1
X,1,X,1
Z,0,Z,0
Z,0,Z,0
Z,0,Z,0
Z,1,X,0
X,1,X,1
X,1,Z,0
X,0,X,0
X,1,X,1
Z,1,Z,1
X,1,X,1
Z,0,X,1
X,1,X,1
X,1,X,1
X,0,X,0
Z,1,Z,1
Z,0,X,0
X,0,X,0
Z,1,Z,1
X,0,Z,0
X,1,Z,1
X,1,X,1
Z,0,X,0
X,0,X,0
X,0,Z,0
X,1,X,1
X,1,Z,0
X,0,Z,0
Z,0,X,1
Z,1,X,0
Z,1,X,0
X,0,X,0
Z,0,Z,0
Z,1,X,1
Z,0,Z,0
Z,1,Z,1
Z,0,Z,0
Z,0,X,1
X,1,Z,0
X,1,Z,1
Z,1,Z,1
Z,0,Z,0
X,0,Z,1
X,0,Z,0
X,1,X,1
Z,0,Z,0
Z,0,X,1
Z,0,X,1
Z,1,X,1
Z,0,Z,0
Z,1,Z,1
X,1,Z,0
X,1,Z,1
Z,1,Z,1
X,0,Z,0
Z,0,Z,0
X,1,Z,0
X,0,X,0
X,1,X,1
X,1,X,1
Z,0,X,1
X,0,Z,1
X,0,Z,0
X,1,Z,0
Z,0,X,1
X,0,Z,0
Z,0,Z,0
X,1,X,1
Z,1,Z,1
X,0,X,0
X,0,X,0
X,0,Z,1
X,1,Z,0
Z,0,X,1
Z,0,Z,0
X,0,Z,0
Z,1,Z,1
X,0,Z,0
Z,1,X,0
Z,0,X,1
Z,0,Z,0
X,0,X,0
Z,0,Z,0
X,0,X,0
Z,1,Z,1
Z,0,Z,0
Z,1,X,0
X,0,X,0
X,0,X,0
Z,1,X,0
X,1,Z,0
Z,1,Z,1
X,0,X,0
Z,0,Z,0
Z,0,Z,0
X,1,X,1
X,0,Z,1
X,0,Z,1
Z,1,Z,1
Z,0,X,0
Z,0,Z,0
Z,0,X,1
X,1,X,1
Z,0,Z,0
Z,1,Z,1
X,1,X,1
X,0,X,0
X,1,X,1
X,1,Z,1
X,1,Z,0
Z,1,X,0
X,0,Z,0
Z,0,X,0
Z,0,Z,0
Z,0,X,1
X,0,Z,1
Z,0,X,0
Z,0,X,0
Z,1,Z,1
Z,1,Z,1
X,1,Z,0
Z,1,X,0
Z,0,Z,0
Z,1,X,0
Z,0,Z,0
X,1,X,1
Z,0,X,0
X,1,X,1
X,1,Z,0
Z,0,X,0
X,0,Z,1
Z,0,Z,0
Z,0,X,0
X,0,X,0
Z,1,Z,1
Z,0,X,0
Z,1,X,0
X,1,Z,0
Z,1,Z,1
X,1,X,1
Z,1,X,0
X,0,X,0
X,1,Z,0
Z,0,Z,0
X,0,Z,1
X,1,Z,0
Z,0,X,1
Z,0,X,1
Z,0,X,0
X,0,Z,1
Z,0,Z,0
X,0,X,0
X,0,Z,1
Z,1,X,1
Z,1,X,0
Z,0,X,1
X,1,Z,0
Z,1,X,1
X,1,Z,0
Z,0,X,0
X,1,Z,1
X,1,X,1
Z,1,Z,1
Z,1,X,1
Z,1,X,1
X,1,Z,0
Z,1,X,1
X,0,X,0
X,1,X,1
X,0,Z,0
Z,1,Z,1
X,0,X,0
X,0,Z,0
X,1,Z,0
Z,0,Z,0
X,0,Z,0
Z,0,X,0
Z,1,Z,1
X,1,Z,1
X,0,Z,0
Z,0,Z,0
X,0,X,0
Z,0,Z,0
Z,0,X,1
X,1,Z,0
X,1,X,1
Z,1,Z,1
Z,1,X,0
